CVIL1;CPAYS1;VIL1;CVIL2;CPAYS2;VIL2;NBPA2000;DKM
AUS;UNST;AUSTIN;PHX;UNST;PHOENIX;403 760;1 395
FLL;UNST;FORT LAUDERDALE;LAS;UNST;LAS VEGAS;403 344;3 490
NGO;JAPN;NAGOYA;TPE;TAIW;TAIPEI;403 302;1 857
LAX;UNST;LOS ANGELES **;YTO;CAND;TORONTO;402 833;3 491
KAG;KORR;GANGNEUNG;SEL;KORR;SEOUL **;402 121;190
SAN;UNST;SAN DIEGO;TUS;UNST;TUCSON;401 854;589
ATL;UNST;ATLANTA;CLT;UNST;CHARLOTTE;401 516;365
BUD;HUNG;BUDAPEST;LON;UNKG;LONDON **;401 490;1 508
FRA;GERF;FRANKFURT;MOW;RUSF;MOSCOU **;401 177;2 024
NYC;UNST;NEW YORK **;RIC;UNST;RICHMOND;400 738;461
CMH;UNST;COLUMBUS, OH **;PHX;UNST;PHOENIX;400 376;2 684
DUB;IRLD;DUBLIN;GLA;UNKG;GLASGOW **;399 726;296
PVD;UNST;PROVIDENCE;TPA;UNST;TAMPA, FL **;398 832;1 831
HAV;CUBA;HAVANA;MAD;SPAN;MADRID **;398 667;7 453
MIL;ITAL;MILANO **;OLB;ITAL;OLBIA;398 560;520
AMS;NETH;AMSTERDAM;OSL;NORW;OSLO **;398 528;916
BNA;UNST;NASHVILLE;LAX;UNST;LOS ANGELES **;397 482;2 883
OSA;JAPN;OSAKA **;SYD;ASTL;SYDNEY;396 898;7 809
PUS;KORR;PUSAN;TPE;TAIW;TAIPEI;396 635;1 338
PAR;FRAN;PARIS **;BER;GERF;BERLIN **;396 208;878
IBZ;SPAN;IBIZA;LON;UNKG;LONDON **;396 162;1 392
SDL;SWED;SUNDSVALL;STO;SWED;STOCKHOLM **;396 083;355
BOS;UNST;BOSTON;SEA;UNST;SEATTLE;396 066;4 002
LAS;UNST;LAS VEGAS;OMA;UNST;OMAHA;395 850;1 764
LIM;PERU;LIMA;MIA;UNST;MIAMI **;395 482;4 216
RDU;UNST;RALEIGH/DURHAM;WAS;UNST;WASHINGTON **;395 018;362
AMS;NETH;AMSTERDAM;TYO;JAPN;TOKYO **;394 349;9 308
KIN;JAMC;KINGSTON;MIA;UNST;MIAMI **;394 270;946
LON;UNKG;LONDON **;WAW;POLD;WARSAW;393 943;1 497
STL;UNST;ST LOUIS;TPA;UNST;TAMPA, FL **;393 710;1 400
CHI;UNST;CHICAGO **;JAX;UNST;JACKSONVILLE;393 232;1 381
PAR;FRAN;PARIS **;SFO;UNST;SAN FRANCISCO;391 342;8 972
LIS;PORT;LISBON;NYC;UNST;NEW YORK **;391 330;5 414
LAS;UNST;LAS VEGAS;SAT;UNST;SAN ANTONIO;389 784;1 718
AMS;NETH;AMSTERDAM;DUB;IRLD;DUBLIN;389 635;750
LAS;UNST;LAS VEGAS;STL;UNST;ST LOUIS;388 424;2 202
AMS;NETH;AMSTERDAM;LTN;UNKG;LUTON;388 352;355
BWI;UNST;BALTIMORE;DAL;UNST;DALLAS **;387 584;1 950
DET;UNST;DETROIT **;LON;UNKG;LONDON **;387 308;5 991
BNA;UNST;NASHVILLE;RDU;UNST;RALEIGH/DURHAM;386 608;711
MIA;UNST;MIAMI **;PTY;PANM;PANAMA CITY - TOCUMEN;386 561;1 860
EDI;UNKG;EDINBURGH;LTN;UNKG;LUTON;386 148;494
DUS;GERF;DUSSELDORF;PAR;FRAN;PARIS **;385 716;421
ORL;UNST;ORLANDO;SDF;UNST;LOUISVILLE;385 580;1 146
IND;UNST;INDIANAPOLIS;PHX;UNST;PHOENIX;385 382;2 392
BCN;SPAN;BARCELONA;BIO;SPAN;BILBAO;385 329;467
